,Predicted_Read,Predicted_Write,Predicted_Execute,Predicted_Destructive,Predicted_Financial,Predicted_Other
Actual_Read,2720,70,19,6,2,0
Actual_Write,81,991,11,2,2,0
Actual_Execute,31,22,182,0,0,0
Actual_Destructive,6,9,3,234,1,0
Actual_Financial,1,4,1,1,15,0
Actual_Other,14,1,0,0,0,0
